证券代码 证券简称 向机构投资者增发部分上市日期 增发价格 增发上市日
000975.SZ 银泰资源 2021-01-25 5.0000 2013-01-24
600206.SH 有研新材 2017-01-10 9.7300 2013-04-18
002512.SZ 达华智能 2016-12-30 10.3100 2013-12-30
002368.SZ 太极股份 2016-12-27 15.5400 2013-12-27
000426.SZ 兴业矿业 2016-12-26 8.6800 2013-12-26
000582.SZ 北部湾港 2016-12-26 7.5100 2013-12-26
000973.SZ 佛塑科技 2016-12-26 3.8900 2013-12-25
600566.SH 济川药业 2016-12-26 8.1800 2013-12-26
600579.SH 天华院 2016-12-26 4.2800 2013-12-25
600731.SH 湖南海利 2016-12-26 6.0300 2013-12-25
600617.SH 国新能源 2016-12-23 8.8900 2013-12-23
600190.SH 锦州港 2016-12-20 3.3000 2013-12-19
002059.SZ 云南旅游 2016-12-13 8.3600 2013-12-13
000760.SZ 斯太尔 2016-12-12 4.7700 2013-12-10
600729.SH 重庆百货 2016-12-12 18.4362 2013-12-11
600645.SH 中源协和 2016-12-05 15.0500 2013-12-05
002642.SZ 荣之联 2016-11-28 9.0600 2013-11-28
600127.SH 金健米业 2016-11-28 4.1100 2013-11-27
000657.SZ 中钨高新 2016-11-15 9.0200 2013-11-15
002114.SZ 罗平锌电 2016-11-15 7.1600 2013-11-15
600595.SH 中孚实业 2016-11-14 4.4400 2013-11-13
601188.SH 龙江交通 2016-11-14 2.2400 2013-11-13
000813.SZ 天山纺织 2016-11-07 5.6600 2013-11-06
000948.SZ 南天信息 2016-10-17 8.1800 2013-10-17
600599.SH 熊猫金控 2016-10-10 9.8900 2013-10-08
000680.SZ 山推股份 2016-09-16 3.9200 2013-09-16
601933.SH 永辉超市 2016-09-05 11.1100 2013-09-03
601179.SH 中国西电 2016-08-26 4.4000 2013-08-26
600580.SH 卧龙电气 2016-08-22 4.2000 2013-08-21
002196.SZ 方正电机 2016-08-16 10.1300 2013-08-16
002100.SZ 天康生物 2016-08-01 6.8400 2013-07-30
601002.SH 晋亿实业 2016-08-01 9.2200 2013-07-30
000545.SZ 金浦钛业 2016-07-26 6.6000 2013-07-26
600056.SH 中国医药 2016-07-18 20.2900 2013-07-18
000717.SZ 韶钢松山 2016-07-11 2.0000 2013-07-10
600438.SH 通威股份 2016-07-11 4.5300 2013-07-10
000595.SZ 宝塔实业 2016-07-06 5.7800 2013-07-05
600332.SH 白云山 2016-07-05 12.1000 2013-07-05
600562.SH 国睿科技 2016-06-27 6.9600 2013-06-26
600984.SH *ST建机 2016-06-21 5.2300 2013-06-21
600513.SH 联环药业 2016-06-20 10.5800 2013-06-20
600365.SH 通葡股份 2016-06-01 8.9800 2013-05-31
000716.SZ 黑芝麻 2016-05-30 6.6500 2013-05-29
002089.SZ 新海宜 2016-05-30 7.8600 2013-05-29
002018.SZ 华信国际 2016-05-23 2.6500 2013-05-21
600207.SH 安彩高科 2016-05-13 4.0300 2013-05-13
000576.SZ 广东甘化 2016-05-09 6.7800 2013-05-09
000672.SZ 上峰水泥 2016-04-26 3.6900 2013-04-26
000688.SZ 建新矿业 2016-04-26 2.9500 2013-04-26
002230.SZ 科大讯飞 2016-04-25 19.4000 2013-04-24
002078.SZ 太阳纸业 2016-04-18 6.9000 2013-04-18
600115.SH 东方航空 2016-04-18 3.2800 2013-04-16
002302.SZ 西部建设 2016-04-08 15.6700 2013-04-08
600738.SH 兰州民百 2016-03-21 5.9100 2013-03-20
000552.SZ 靖远煤电 2016-03-11 16.3300 2013-03-11
002119.SZ 康强电子 2016-03-07 7.7300 2013-03-05
002464.SZ 金利科技 2016-02-22 17.1200 2013-02-20
000027.SZ 深圳能源 2016-02-08 6.1700 2013-02-08
000498.SZ 山东路桥 2016-02-08 3.0000 2013-02-08
000678.SZ 襄阳轴承 2016-02-08 4.2700 2013-02-06
601111.SH 中国国航 2016-02-01 5.4500 2013-01-30
600285.SH 羚锐制药 2016-01-21 7.6700 2013-01-21
600517.SH 置信电气 2016-01-18 11.0000 2013-01-16
000922.SZ 佳电股份 2016-01-11 8.6100 2013-01-09
600392.SH 盛和资源 2016-01-08 10.0100 2013-01-08
600787.SH 中储股份 2016-01-08 10.0000 2013-01-08
600795.SH 国电电力 2016-01-08 2.1800 2013-01-08
601166.SH 兴业银行 2016-01-07 12.3600 2013-01-07
